capture_index,landing_page_url,advertiser,representative_ad_library_id,slug,viewport_width,viewport_height,page_title,page_height_px,screen_count,capture_status,screenshots_dir,pdf_path,error
11,https://www.service-innovation.co.jp/AIEO/,サービス・イノベーション株式会社,1026589400079637,lp-11-service-innovation-co-jp-1026589400079637,1440,900,,7162,8,complete,output/lp-screens/lp-11-service-innovation-co-jp-1026589400079637,output/lp-pdfs/lp-11-service-innovation-co-jp-1026589400079637.pdf,
12,https://www.sendenkaigi.com/marketing/event/xaseminar_2608/?utm_source=facebook&utm_medium=paidsocial&utm_campaign=xaseminar_2608&utm_id=xaseminar_2608&utm_creative_format=responsive&utm_content=hanyo,宣伝会議 イベント情報,2205848486902640,lp-12-sendenkaigi-com-2205848486902640,1440,900,検索されるブランドから、推薦されるブランドへ ～AIに候補化され、人に想起されるBRAND実装ワークショップ～,4495,5,complete,output/lp-screens/lp-12-sendenkaigi-com-2205848486902640,output/lp-pdfs/lp-12-sendenkaigi-com-2205848486902640.pdf,
13,https://pengi-n.co.jp/service/ai-support/,株式会社PENGIN｜BtoBマーケティングが得意なホームページ制作会社,1048220391190376,lp-13-pengi-n-co-jp-1048220391190376,1440,900,Claude Code 導入・活用支援 LP — ハイファイデザイン（WF構造踏襲 / rental-cto配色）,10657,12,complete,output/lp-screens/lp-13-pengi-n-co-jp-1048220391190376,output/lp-pdfs/lp-13-pengi-n-co-jp-1048220391190376.pdf,
14,https://www.knowleful.ai/genai_reskilling/,CLINKS株式会社,2927709540913432,lp-14-knowleful-ai-2927709540913432,1440,900,生成AI企業研修 | 助成金活用で実質負担1万円のリスキリング講座,9386,11,complete,output/lp-screens/lp-14-knowleful-ai-2927709540913432,output/lp-pdfs/lp-14-knowleful-ai-2927709540913432.pdf,
15,https://weav-e.jp/,WEAVE Inc.,852709467598889,lp-15-weav-e-jp-852709467598889,1440,900,広島のAI研修・生成AI研修・体験会なら株式会社WEAVE｜中小企業・自治体向け実践型AI教育,12583,14,complete,output/lp-screens/lp-15-weav-e-jp-852709467598889,output/lp-pdfs/lp-15-weav-e-jp-852709467598889.pdf,
16,https://cloud-ace.jp/internal-case/detail01/,クラウドエース株式会社,1039872355058819,lp-16-cloud-ace-jp-1039872355058819,1440,900,AIと人の役割を定め、月間約200時間の工数を削減！ | クラウドエース株式会社,4823,6,complete,output/lp-screens/lp-16-cloud-ace-jp-1039872355058819,output/lp-pdfs/lp-16-cloud-ace-jp-1039872355058819.pdf,
17,https://protean-career.or.jp/seminor-information/20260220-2/,一般社団法人プロティアン・キャリア協会,2042348909686727,lp-17-protean-career-or-jp-2042348909686727,1440,900,セミナー/イベント情報 | 一般社団法人 プロティアン・キャリア協会,3783,5,complete,output/lp-screens/lp-17-protean-career-or-jp-2042348909686727,output/lp-pdfs/lp-17-protean-career-or-jp-2042348909686727.pdf,
18,https://honbu.ai/c?utm_source=meta&utm_medium=cpc&utm_campaign=ai_keieihonbu&utm_content=AS03-A-v2-LPC,Ai経営本部,1045737721267728,lp-18-honbu-ai-1045737721267728,1440,900,AIと私で、最高の決断を。 | AI経営本部,900,1,complete,output/lp-screens/lp-18-honbu-ai-1045737721267728,output/lp-pdfs/lp-18-honbu-ai-1045737721267728.pdf,
19,https://ai-work-studio-lp.pages.dev/?utm_source=meta_ad&utm_medium=paid&utm_campaign=line_first&utm_content=creview_pipeline,Aoki Ai,4462465410565326,lp-19-ai-work-studio-lp-pages-dev-4462465410565326,1440,900,AI Work Studio｜「クラウドソーシングで仕事が取れない」を、AIで終わらせる無料体験（30分）,10371,12,complete,output/lp-screens/lp-19-ai-work-studio-lp-pages-dev-4462465410565326,output/lp-pdfs/lp-19-ai-work-studio-lp-pages-dev-4462465410565326.pdf,
20,https://shindan.penguin-ai.net/,Tenmusns,1298003395507813,lp-20-shindan-penguin-ai-net-1298003395507813,1440,900,Instagramアカウント無料診断 | PENguin,1317,2,complete,output/lp-screens/lp-20-shindan-penguin-ai-net-1298003395507813,output/lp-pdfs/lp-20-shindan-penguin-ai-net-1298003395507813.pdf,
21,https://www.chibashi-sangyo.or.jp/info-all/13783/,公益財団法人千葉市産業振興財団,1430447679271578,lp-21-chibashi-sangyo-or-jp-1430447679271578,1440,900,【9/4開催】『新時代のグローバルEC戦略セミナー～AIエージェンティックコマース時代の新常識～』 | 千葉市産業振興財団,3226,4,complete,output/lp-screens/lp-21-chibashi-sangyo-or-jp-1430447679271578,output/lp-pdfs/lp-21-chibashi-sangyo-or-jp-1430447679271578.pdf,
22,https://milestone-corporation.jp/meta-claude/fb/,広告運用は完全自動化で成果が出る,1000527086302367,lp-22-milestone-corporation-jp-1000527086302367,1440,900,Meta広告×Claude完全自動運用セミナー,6448,8,complete,output/lp-screens/lp-22-milestone-corporation-jp-1000527086302367,output/lp-pdfs/lp-22-milestone-corporation-jp-1000527086302367.pdf,
23,https://shigoto-ai.com/lp/ait_ad02?utm_source=meta&utm_medium=CPM&utm_campaign=C1_movie01&utm_content=C1_movie128_ait02,Shigoto AI,1501612848235830,lp-23-shigoto-ai-com-1501612848235830,1440,900,シゴトAI - AIスクール・動画講座,19622,22,complete,output/lp-screens/lp-23-shigoto-ai-com-1501612848235830,output/lp-pdfs/lp-23-shigoto-ai-com-1501612848235830.pdf,
24,https://bushou-shindan.jp/?utm_source=facebook&utm_medium=cpc&utm_campaign=bushou_kakucho_2026-05&utm_content=bushou-h2d,ラングローブ株式会社,1357887553213849,lp-24-bushou-shindan-jp-1357887553213849,1440,900,AI × 戦国武将タイプ診断 | あなたはどの武将？,3549,4,complete,output/lp-screens/lp-24-bushou-shindan-jp-1357887553213849,output/lp-pdfs/lp-24-bushou-shindan-jp-1357887553213849.pdf,
25,https://ut.rich-flow-automation-funnel-academy.com/p/RFA_opt?ftid=YavpL2vsqRaP,リッチフローアカデミー,26603958105966996,lp-25-ut-rich-flow-automation-funnel-academy-com-26603958105966996,1440,900,,9180,11,complete,output/lp-screens/lp-25-ut-rich-flow-automation-funnel-academy-com-26603958105966996,output/lp-pdfs/lp-25-ut-rich-flow-automation-funnel-academy-com-26603958105966996.pdf,
26,https://www.pwc.com/jp/ja/knowledge/column/engineering-chain-dx-generative-ai-and-alm.html?utm_source=meta&utm_medium=paid-social,PwC Japanグループ,1346352280971244,lp-26-pwc-com-1346352280971244,1440,900,製造業の未来を切り開くエンジニアリングチェーンのDX 第4回 生成AIとALMによる高速のソフトウェア開発 | PwC Japanグループ,15229,17,complete,output/lp-screens/lp-26-pwc-com-1346352280971244,output/lp-pdfs/lp-26-pwc-com-1346352280971244.pdf,
27,https://fce-pat.co.jp/ad/download/automationworks,RPA Robo-Pat DX,1329589688664626,lp-27-fce-pat-co-jp-1329589688664626,1440,900,RPA自動化対象業務 診断シート,1263,2,complete,output/lp-screens/lp-27-fce-pat-co-jp-1329589688664626,output/lp-pdfs/lp-27-fce-pat-co-jp-1329589688664626.pdf,
28,https://www.asia-quest.jp/service/modernization/application-system/lp?utm_source=meta&utm_medium=snsad&utm_campaign=System_AT&utm_content=bannerB2,アジアクエスト株式会社,1478298100973786,lp-28-asia-quest-jp-1478298100973786,1440,900,【アジアクエスト公式】システム開発サービス │ アジアクエスト株式会社,17588,20,complete,output/lp-screens/lp-28-asia-quest-jp-1478298100973786,output/lp-pdfs/lp-28-asia-quest-jp-1478298100973786.pdf,
29,https://quants-souken.co.jp/group_company,クオンツ総研ホールディングス,1328135136168969,lp-29-quants-souken-co-jp-1328135136168969,1440,900,グループ会社一覧 | クオンツ総研ホールディングス,3856,5,complete,output/lp-screens/lp-29-quants-souken-co-jp-1328135136168969,output/lp-pdfs/lp-29-quants-souken-co-jp-1328135136168969.pdf,
30,https://mba.globis.ac.jp/trial-class/lp/article-2-tmba/,グロービス経営大学院,1450044673482974,lp-30-mba-globis-ac-jp-1450044673482974,1440,900,20代・30代に選ばれているビジネススクール「グロービス経営大学院」,20912,24,complete,output/lp-screens/lp-30-mba-globis-ac-jp-1450044673482974,output/lp-pdfs/lp-30-mba-globis-ac-jp-1450044673482974.pdf,
31,http://www.avenir-executive.co.jp/lp/ai-conference/,メンタルヘルステクノロジーズ,848897063757936,lp-31-avenir-executive-co-jp-848897063757936,1440,900,,11535,13,complete,output/lp-screens/lp-31-avenir-executive-co-jp-848897063757936,output/lp-pdfs/lp-31-avenir-executive-co-jp-848897063757936.pdf,
32,https://ug.44jyuku.com/p/aib-seminar,志師塾 先生業ビジネススクール,2020193342231942,lp-32-ug-44jyuku-com-2020193342231942,1440,900,AI伴走士オンラインセミナー,10137,12,complete,output/lp-screens/lp-32-ug-44jyuku-com-2020193342231942,output/lp-pdfs/lp-32-ug-44jyuku-com-2020193342231942.pdf,
